brand,image_url,price,rating,title,total_review
clark n palmer,https://m.media-amazon.com/images/I/61U7MgX9aSL._AC_UL320_.jpg,499,4.0 out of 5 stars,UV Protected Sports Unisex SUNGLASSES - (CNP-SM-117 I Free Size |Blue Mirror Lens),71
VINCENT CHASE EYEWEAR,https://m.media-amazon.com/images/I/41N9iFJmpBL._AC_UL320_.jpg,749,3.6 out of 5 stars,Vincent Chase By Lenskart | Polarized & UV Protected Sunglasses | Black Grey Full Rim Wayfarer | For Men & Women | Large | VC S11740,23
CREATURE,https://m.media-amazon.com/images/I/712Dvez61SL._AC_UL320_.jpg,289,3.3 out of 5 stars,Matt Finish Club master Uv Protected Sunglasses(Doit-006| 53| Frame-Black),"3,467"
ELEGANTE,https://m.media-amazon.com/images/I/51uYuk9R8pL._AC_UL320_.jpg,299,3.6 out of 5 stars,Men's Square Sunglasses,"3,617"
Xforia,https://m.media-amazon.com/images/I/71+9+pKvGHL._AC_UL320_.jpg,499,3.3 out of 5 stars,Men's Tony Stark Glasses Spider Iron Man Edith Sunglasses Analog Watch Combo For Men's & Boy's,14
ARZONAI,https://m.media-amazon.com/images/I/51DQjbN1R6L._AC_UL320_.jpg,499,3.9 out of 5 stars,Unisex Adult Square Sunglasses (Black Lens) (Medium),380
Ray-Ban,https://m.media-amazon.com/images/I/51On3GO1piL._AC_UL320_.jpg,,3.6 out of 5 stars,Unisex UV Protected Sunglasses ( 0RB3025I|58 mm|Crystal Gray-Green),203
ELEGANTE,https://m.media-amazon.com/images/I/510Hw6FpN+L._AC_UL320_.jpg,349,3.9 out of 5 stars,Branded Men's and Women's Round Tony Stark Steampunk Golden Metal Round Sunglass (Gold),131
JIM HALO,https://m.media-amazon.com/images/I/61fSkO4AYlL._AC_UL320_.jpg,"1,098",4.1 out of 5 stars,Polarized Sports Sunglasses Mirror Wrap Around Driving Fishing Men Women,"1,883"
Eyvyn...Quality is what you need,https://m.media-amazon.com/images/I/41PKox6m6qL._AC_UL320_.jpg,349,4.6 out of 5 stars,Eyvyn HD Vision Day and Night Unisex HD Vision Goggles Anti-Glare Polarized Sunglasses Men/Women Driving Glasses Sun Glasses UV Protection All Bikes & Car,34
